time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number
299.1166666666667,37.0,0.132,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
314.1166666666667,37.0,0.145,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
329.1166666666667,37.0,0.16,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
344.1166666666667,37.0,0.17600000000000002,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
359.1166666666667,37.0,0.193,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
374.1166666666667,37.0,0.217,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
389.1166666666667,37.1,0.24,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
404.1166666666667,37.0,0.27,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
419.1166666666667,37.0,0.287,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
434.1166666666667,37.0,0.307,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
449.1166666666667,37.1,0.335,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
464.1166666666667,37.1,0.354,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
479.1166666666667,37.1,0.37200000000000005,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
494.1166666666667,37.0,0.39799999999999996,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
509.1166666666667,37.1,0.423,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
524.1166666666667,37.0,0.445,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
539.1166666666667,37.1,0.45899999999999996,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
554.1166666666667,37.0,0.47600000000000003,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
569.1166666666667,37.0,0.49,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
584.1166666666667,37.0,0.501,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
599.1166666666667,37.0,0.513,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
614.1166666666667,37.1,0.506,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
629.1166666666667,37.0,0.517,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
644.1166666666667,37.0,0.528,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
659.1166666666667,37.1,0.5379999999999999,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
674.1166666666667,37.0,0.5479999999999999,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
689.1166666666667,37.0,0.56,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
704.1166666666667,37.0,0.5660000000000001,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
719.1166666666667,37.0,0.5710000000000001,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
734.1166666666667,37.0,0.579,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
749.1166666666667,37.0,0.585,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
764.1166666666667,37.0,0.589,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
779.1166666666667,37.1,0.595,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
794.1166666666667,37.0,0.601,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
809.1166666666667,37.0,0.603,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
824.1166666666667,37.0,0.606,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
839.1166666666667,37.0,0.609,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
854.1166666666667,37.0,0.613,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
869.1166666666667,37.0,0.614,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
884.1166666666667,37.1,0.616,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
899.1166666666667,37.0,0.618,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
914.1166666666667,37.1,0.619,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
929.1166666666667,37.0,0.619,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
944.1166666666667,37.0,0.62,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
959.1166666666667,37.0,0.619,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
974.1166666666667,37.1,0.619,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
989.1166666666667,37.1,0.618,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1004.1166666666667,37.0,0.617,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1019.1166666666667,37.0,0.616,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1034.1166666666666,37.0,0.614,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1049.1166666666666,37.1,0.612,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1064.1166666666666,37.1,0.609,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1079.1166666666666,37.1,0.607,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1094.1166666666666,37.0,0.605,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1109.1166666666666,37.1,0.601,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1124.1166666666666,37.0,0.599,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1139.1166666666666,37.1,0.594,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1154.1166666666666,37.1,0.59,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1169.1166666666666,37.1,0.586,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1184.1166666666666,37.0,0.581,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1199.1166666666666,37.0,0.5770000000000001,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1214.1166666666666,37.0,0.574,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1229.1166666666666,37.1,0.568,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1244.1166666666666,37.0,0.562,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1259.1166666666666,37.1,0.556,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1274.1166666666666,37.0,0.5529999999999999,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1289.1166666666666,37.1,0.55,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1304.1166666666666,37.1,0.544,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1319.1166666666666,37.0,0.536,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1334.1166666666666,37.1,0.531,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1349.1166666666666,37.1,0.52,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1364.1166666666666,37.1,0.516,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
1379.1166666666666,37.0,0.512,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
